instant,dteday,season,year,month,hours,holiday,one_of_week,weather_situation,temp,atemp,humidity,wind_speed,casual,registered,count_cr,category_days,humidity_category,work_hours
2803,2011-05-01,Summer,2011,May,16,0,Sunday,Misty,0.5,0.4848,72.0,0.194,75,139,214,Weekend,Terlalu Lembab,Work Hours
2804,2011-05-01,Summer,2011,May,17,0,Sunday,Misty,0.48,0.4697,82.0,0.2537,60,136,196,Weekend,Terlalu Lembab,Non-Work Hours
2805,2011-05-01,Summer,2011,May,18,0,Sunday,Misty,0.46,0.4545,82.0,0.0896,33,126,159,Weekend,Terlalu Lembab,Non-Work Hours
2806,2011-05-01,Summer,2011,May,19,0,Sunday,Misty,0.46,0.4545,84.0,0.1045,47,131,178,Weekend,Terlalu Lembab,Non-Work Hours
2807,2011-05-01,Summer,2011,May,20,0,Sunday,Misty,0.46,0.4545,82.0,0.0,35,86,121,Weekend,Terlalu Lembab,Non-Work Hours
2808,2011-05-01,Summer,2011,May,21,0,Sunday,Misty,0.46,0.4545,82.0,0.0,23,82,105,Weekend,Terlalu Lembab,Non-Work Hours
2809,2011-05-01,Summer,2011,May,22,0,Sunday,Misty,0.46,0.4545,82.0,0.0,32,68,100,Weekend,Terlalu Lembab,Non-Work Hours
2810,2011-05-01,Summer,2011,May,23,0,Sunday,Clear,0.46,0.4545,77.0,0.194,64,82,146,Weekend,Terlalu Lembab,Non-Work Hours
2811,2011-05-02,Summer,2011,May,0,0,Monday,Clear,0.46,0.4545,72.0,0.1343,68,109,177,Weekday,Terlalu Lembab,Non-Work Hours
2812,2011-05-02,Summer,2011,May,1,0,Monday,Clear,0.46,0.4545,72.0,0.1343,41,73,114,Weekday,Terlalu Lembab,Non-Work Hours
2813,2011-05-02,Summer,2011,May,2,0,Monday,Misty,0.44,0.4394,77.0,0.2239,16,19,35,Weekday,Terlalu Lembab,Non-Work Hours
2814,2011-05-02,Summer,2011,May,3,0,Monday,Clear,0.44,0.4394,77.0,0.1343,9,7,16,Weekday,Terlalu Lembab,Non-Work Hours
2815,2011-05-02,Summer,2011,May,4,0,Monday,Clear,0.44,0.4394,77.0,0.1642,9,8,17,Weekday,Terlalu Lembab,Non-Work Hours
2816,2011-05-02,Summer,2011,May,5,0,Monday,Misty,0.44,0.4394,77.0,0.1343,4,16,20,Weekday,Terlalu Lembab,Non-Work Hours
2817,2011-05-02,Summer,2011,May,6,0,Monday,Clear,0.44,0.4394,88.0,0.1045,3,59,62,Weekday,Terlalu Lembab,Non-Work Hours
2818,2011-05-02,Summer,2011,May,7,0,Monday,Misty,0.46,0.4545,82.0,0.3284,16,193,209,Weekday,Terlalu Lembab,Work Hours
2819,2011-05-02,Summer,2011,May,8,0,Monday,Misty,0.48,0.4697,77.0,0.2239,21,350,371,Weekday,Terlalu Lembab,Work Hours
2820,2011-05-02,Summer,2011,May,9,0,Monday,Misty,0.5,0.4848,77.0,0.2836,41,131,172,Weekday,Terlalu Lembab,Work Hours
2821,2011-05-02,Summer,2011,May,10,0,Monday,Misty,0.54,0.5152,77.0,0.2239,31,77,108,Weekday,Terlalu Lembab,Work Hours
2822,2011-05-02,Summer,2011,May,11,0,Monday,Clear,0.58,0.5455,73.0,0.2985,34,96,130,Weekday,Terlalu Lembab,Work Hours
2823,2011-05-02,Summer,2011,May,12,0,Monday,Clear,0.62,0.6061,69.0,0.2239,40,147,187,Weekday,Terlalu Lembab,Work Hours
2824,2011-05-02,Summer,2011,May,13,0,Monday,Misty,0.62,0.6061,69.0,0.194,51,119,170,Weekday,Terlalu Lembab,Work Hours
2825,2011-05-02,Summer,2011,May,14,0,Monday,Clear,0.64,0.6061,69.0,0.2239,48,133,181,Weekday,Terlalu Lembab,Work Hours
2826,2011-05-02,Summer,2011,May,15,0,Monday,Clear,0.66,0.6212,61.0,0.194,45,110,155,Weekday,Ideal,Work Hours
2827,2011-05-02,Summer,2011,May,16,0,Monday,Clear,0.66,0.6212,61.0,0.2239,49,220,269,Weekday,Ideal,Work Hours
2828,2011-05-02,Summer,2011,May,17,0,Monday,Clear,0.66,0.6212,65.0,0.194,65,472,537,Weekday,Terlalu Lembab,Non-Work Hours
2829,2011-05-02,Summer,2011,May,18,0,Monday,Misty,0.64,0.6061,65.0,0.194,68,450,518,Weekday,Terlalu Lembab,Non-Work Hours
2830,2011-05-02,Summer,2011,May,19,0,Monday,Misty,0.62,0.6061,69.0,0.1343,46,268,314,Weekday,Terlalu Lembab,Non-Work Hours
2831,2011-05-02,Summer,2011,May,20,0,Monday,Misty,0.62,0.6061,69.0,0.1343,44,174,218,Weekday,Terlalu Lembab,Non-Work Hours
2832,2011-05-02,Summer,2011,May,21,0,Monday,Misty,0.6,0.5909,73.0,0.1045,54,178,232,Weekday,Terlalu Lembab,Non-Work Hours
2833,2011-05-02,Summer,2011,May,22,0,Monday,Misty,0.6,0.5909,73.0,0.0,28,97,125,Weekday,Terlalu Lembab,Non-Work Hours
2834,2011-05-02,Summer,2011,May,23,0,Monday,Misty,0.56,0.5303,83.0,0.194,16,48,64,Weekday,Terlalu Lembab,Non-Work Hours
2835,2011-05-03,Summer,2011,May,0,0,Tuesday,Misty,0.56,0.5303,83.0,0.2239,0,16,16,Weekday,Terlalu Lembab,Non-Work Hours
2836,2011-05-03,Summer,2011,May,1,0,Tuesday,Misty,0.56,0.5303,78.0,0.2537,0,14,14,Weekday,Terlalu Lembab,Non-Work Hours
2837,2011-05-03,Summer,2011,May,2,0,Tuesday,Misty,0.56,0.5303,78.0,0.2537,0,5,5,Weekday,Terlalu Lembab,Non-Work Hours
2838,2011-05-03,Summer,2011,May,3,0,Tuesday,Clear,0.54,0.5152,83.0,0.2836,0,2,2,Weekday,Terlalu Lembab,Non-Work Hours
2839,2011-05-03,Summer,2011,May,4,0,Tuesday,Clear,0.52,0.5,88.0,0.2239,3,1,4,Weekday,Terlalu Lembab,Non-Work Hours
2840,2011-05-03,Summer,2011,May,5,0,Tuesday,Clear,0.52,0.5,88.0,0.1343,0,14,14,Weekday,Terlalu Lembab,Non-Work Hours
2841,2011-05-03,Summer,2011,May,6,0,Tuesday,Misty,0.52,0.5,94.0,0.1642,7,102,109,Weekday,Terlalu Lembab,Non-Work Hours
2842,2011-05-03,Summer,2011,May,7,0,Tuesday,Misty,0.54,0.5152,88.0,0.2239,17,248,265,Weekday,Terlalu Lembab,Work Hours
2843,2011-05-03,Summer,2011,May,8,0,Tuesday,Misty,0.56,0.5303,83.0,0.2836,24,435,459,Weekday,Terlalu Lembab,Work Hours
2844,2011-05-03,Summer,2011,May,9,0,Tuesday,Misty,0.6,0.5758,78.0,0.3582,29,157,186,Weekday,Terlalu Lembab,Work Hours
2845,2011-05-03,Summer,2011,May,10,0,Tuesday,Misty,0.64,0.6061,69.0,0.3582,36,91,127,Weekday,Terlalu Lembab,Work Hours
2846,2011-05-03,Summer,2011,May,11,0,Tuesday,Misty,0.66,0.6212,65.0,0.3284,20,120,140,Weekday,Terlalu Lembab,Work Hours
2847,2011-05-03,Summer,2011,May,12,0,Tuesday,Misty,0.68,0.6364,61.0,0.4925,48,169,217,Weekday,Ideal,Work Hours
2848,2011-05-03,Summer,2011,May,13,0,Tuesday,Misty,0.7,0.6515,57.99999999999999,0.6119,50,144,194,Weekday,Ideal,Work Hours
2849,2011-05-03,Summer,2011,May,14,0,Tuesday,Misty,0.7,0.6515,57.99999999999999,0.5224,36,122,158,Weekday,Ideal,Work Hours
2850,2011-05-03,Summer,2011,May,15,0,Tuesday,Misty,0.7,0.6515,57.99999999999999,0.4478,37,117,154,Weekday,Ideal,Work Hours
2851,2011-05-03,Summer,2011,May,16,0,Tuesday,Clear,0.72,0.6667,54.0,0.4627,46,225,271,Weekday,Ideal,Work Hours
2852,2011-05-03,Summer,2011,May,17,0,Tuesday,Clear,0.7,0.6515,54.0,0.4627,53,464,517,Weekday,Ideal,Non-Work Hours
2853,2011-05-03,Summer,2011,May,18,0,Tuesday,Clear,0.7,0.6515,48.0,0.4179,59,485,544,Weekday,Ideal,Non-Work Hours
2854,2011-05-03,Summer,2011,May,19,0,Tuesday,Clear,0.68,0.6364,56.99999999999999,0.3582,42,323,365,Weekday,Ideal,Non-Work Hours
2855,2011-05-03,Summer,2011,May,20,0,Tuesday,Clear,0.66,0.6212,61.0,0.194,28,262,290,Weekday,Ideal,Non-Work Hours
2856,2011-05-03,Summer,2011,May,21,0,Tuesday,Misty,0.64,0.6212,61.0,0.4478,42,183,225,Weekday,Ideal,Non-Work Hours
2857,2011-05-03,Summer,2011,May,22,0,Tuesday,Misty,0.58,0.5455,60.0,0.3881,14,99,113,Weekday,Ideal,Non-Work Hours
2858,2011-05-03,Summer,2011,May,23,0,Tuesday,Misty,0.56,0.5303,68.0,0.3284,12,50,62,Weekday,Terlalu Lembab,Non-Work Hours
2859,2011-05-04,Summer,2011,May,0,0,Wednesday,Light_rainsnow,0.52,0.5,77.0,0.1642,5,22,27,Weekday,Terlalu Lembab,Non-Work Hours
2860,2011-05-04,Summer,2011,May,1,0,Wednesday,Light_rainsnow,0.5,0.4848,82.0,0.2836,1,6,7,Weekday,Terlalu Lembab,Non-Work Hours
2861,2011-05-04,Summer,2011,May,2,0,Wednesday,Light_rainsnow,0.5,0.4848,82.0,0.2836,0,4,4,Weekday,Terlalu Lembab,Non-Work Hours
2862,2011-05-04,Summer,2011,May,3,0,Wednesday,Light_rainsnow,0.42,0.4242,88.0,0.5224,0,1,1,Weekday,Terlalu Lembab,Non-Work Hours
2863,2011-05-04,Summer,2011,May,4,0,Wednesday,Light_rainsnow,0.38,0.3939,94.0,0.3284,1,2,3,Weekday,Terlalu Lembab,Non-Work Hours
2864,2011-05-04,Summer,2011,May,5,0,Wednesday,Light_rainsnow,0.36,0.3333,87.0,0.3284,1,8,9,Weekday,Terlalu Lembab,Non-Work Hours
2865,2011-05-04,Summer,2011,May,6,0,Wednesday,Light_rainsnow,0.34,0.303,93.0,0.3881,0,21,21,Weekday,Terlalu Lembab,Non-Work Hours
2866,2011-05-04,Summer,2011,May,7,0,Wednesday,Light_rainsnow,0.34,0.303,93.0,0.3582,6,46,52,Weekday,Terlalu Lembab,Work Hours
2867,2011-05-04,Summer,2011,May,8,0,Wednesday,Light_rainsnow,0.34,0.303,93.0,0.3881,5,74,79,Weekday,Terlalu Lembab,Work Hours
2868,2011-05-04,Summer,2011,May,9,0,Wednesday,Light_rainsnow,0.34,0.303,93.0,0.3582,5,35,40,Weekday,Terlalu Lembab,Work Hours
2869,2011-05-04,Summer,2011,May,10,0,Wednesday,Misty,0.34,0.3182,93.0,0.2836,5,26,31,Weekday,Terlalu Lembab,Work Hours
2870,2011-05-04,Summer,2011,May,11,0,Wednesday,Clear,0.4,0.4091,82.0,0.3284,3,69,72,Weekday,Terlalu Lembab,Work Hours
2871,2011-05-04,Summer,2011,May,12,0,Wednesday,Misty,0.44,0.4394,62.0,0.3582,19,105,124,Weekday,Ideal,Work Hours
2872,2011-05-04,Summer,2011,May,13,0,Wednesday,Misty,0.46,0.4545,59.0,0.4478,15,128,143,Weekday,Ideal,Work Hours
2873,2011-05-04,Summer,2011,May,14,0,Wednesday,Clear,0.5,0.4848,51.0,0.3881,13,94,107,Weekday,Ideal,Work Hours
2874,2011-05-04,Summer,2011,May,15,0,Wednesday,Clear,0.48,0.4697,51.0,0.4179,22,107,129,Weekday,Ideal,Work Hours
2875,2011-05-04,Summer,2011,May,16,0,Wednesday,Clear,0.5,0.4848,45.0,0.4627,22,173,195,Weekday,Ideal,Work Hours
2876,2011-05-04,Summer,2011,May,17,0,Wednesday,Clear,0.4,0.4091,71.0,0.2537,22,388,410,Weekday,Terlalu Lembab,Non-Work Hours
2877,2011-05-04,Summer,2011,May,18,0,Wednesday,Clear,0.42,0.4242,67.0,0.2537,29,367,396,Weekday,Terlalu Lembab,Non-Work Hours
2878,2011-05-04,Summer,2011,May,19,0,Wednesday,Clear,0.42,0.4242,57.99999999999999,0.3582,30,266,296,Weekday,Ideal,Non-Work Hours
2879,2011-05-04,Summer,2011,May,20,0,Wednesday,Clear,0.4,0.4091,62.0,0.3284,17,174,191,Weekday,Ideal,Non-Work Hours
2880,2011-05-04,Summer,2011,May,21,0,Wednesday,Clear,0.4,0.4091,62.0,0.1642,17,133,150,Weekday,Ideal,Non-Work Hours
2881,2011-05-04,Summer,2011,May,22,0,Wednesday,Clear,0.38,0.3939,62.0,0.2239,9,80,89,Weekday,Ideal,Non-Work Hours
2882,2011-05-04,Summer,2011,May,23,0,Wednesday,Clear,0.36,0.3485,62.0,0.2239,8,49,57,Weekday,Ideal,Non-Work Hours
2883,2011-05-05,Summer,2011,May,0,0,Thursday,Clear,0.36,0.3485,66.0,0.194,4,23,27,Weekday,Terlalu Lembab,Non-Work Hours
2884,2011-05-05,Summer,2011,May,1,0,Thursday,Clear,0.34,0.3333,71.0,0.194,4,6,10,Weekday,Terlalu Lembab,Non-Work Hours
2885,2011-05-05,Summer,2011,May,2,0,Thursday,Clear,0.34,0.3182,66.0,0.2239,1,4,5,Weekday,Terlalu Lembab,Non-Work Hours
2886,2011-05-05,Summer,2011,May,3,0,Thursday,Clear,0.34,0.3182,66.0,0.2537,0,4,4,Weekday,Terlalu Lembab,Non-Work Hours
2887,2011-05-05,Summer,2011,May,4,0,Thursday,Clear,0.34,0.3182,66.0,0.2537,4,3,7,Weekday,Terlalu Lembab,Non-Work Hours
2888,2011-05-05,Summer,2011,May,5,0,Thursday,Clear,0.34,0.3182,66.0,0.2537,1,29,30,Weekday,Terlalu Lembab,Non-Work Hours
2889,2011-05-05,Summer,2011,May,6,0,Thursday,Clear,0.34,0.3182,66.0,0.2537,3,86,89,Weekday,Terlalu Lembab,Non-Work Hours
2890,2011-05-05,Summer,2011,May,7,0,Thursday,Clear,0.38,0.3939,57.99999999999999,0.2537,16,255,271,Weekday,Ideal,Work Hours
2891,2011-05-05,Summer,2011,May,8,0,Thursday,Clear,0.42,0.4242,50.0,0.2537,25,415,440,Weekday,Ideal,Work Hours
2892,2011-05-05,Summer,2011,May,9,0,Thursday,Clear,0.46,0.4545,44.0,0.2836,20,164,184,Weekday,Terlalu kering,Work Hours
2893,2011-05-05,Summer,2011,May,10,0,Thursday,Clear,0.5,0.4848,39.0,0.2836,30,98,128,Weekday,Terlalu kering,Work Hours
2894,2011-05-05,Summer,2011,May,11,0,Thursday,Clear,0.52,0.5,36.0,0.4478,43,105,148,Weekday,Terlalu kering,Work Hours
2895,2011-05-05,Summer,2011,May,12,0,Thursday,Clear,0.52,0.5,34.0,0.3582,27,169,196,Weekday,Terlalu kering,Work Hours
2896,2011-05-05,Summer,2011,May,13,0,Thursday,Clear,0.54,0.5152,30.0,0.5821,50,142,192,Weekday,Terlalu kering,Work Hours
2897,2011-05-05,Summer,2011,May,14,0,Thursday,Clear,0.54,0.5152,28.000000000000004,0.4478,19,135,154,Weekday,Terlalu kering,Work Hours
2898,2011-05-05,Summer,2011,May,15,0,Thursday,Clear,0.56,0.5303,26.0,0.4925,27,120,147,Weekday,Terlalu kering,Work Hours
2899,2011-05-05,Summer,2011,May,16,0,Thursday,Clear,0.58,0.5455,24.0,0.4179,36,233,269,Weekday,Terlalu kering,Work Hours
2900,2011-05-05,Summer,2011,May,17,0,Thursday,Clear,0.56,0.5303,26.0,0.3881,66,467,533,Weekday,Terlalu kering,Non-Work Hours
2901,2011-05-05,Summer,2011,May,18,0,Thursday,Clear,0.56,0.5303,26.0,0.2836,64,456,520,Weekday,Terlalu kering,Non-Work Hours
2902,2011-05-05,Summer,2011,May,19,0,Thursday,Clear,0.54,0.5152,28.000000000000004,0.2239,56,305,361,Weekday,Terlalu kering,Non-Work Hours
2903,2011-05-05,Summer,2011,May,20,0,Thursday,Clear,0.5,0.4848,34.0,0.1642,33,225,258,Weekday,Terlalu kering,Non-Work Hours
2904,2011-05-05,Summer,2011,May,21,0,Thursday,Clear,0.5,0.4848,36.0,0.194,39,141,180,Weekday,Terlalu kering,Non-Work Hours
2905,2011-05-05,Summer,2011,May,22,0,Thursday,Clear,0.48,0.4697,39.0,0.194,30,135,165,Weekday,Terlalu kering,Non-Work Hours
2906,2011-05-05,Summer,2011,May,23,0,Thursday,Clear,0.46,0.4545,41.0,0.194,16,99,115,Weekday,Terlalu kering,Non-Work Hours
2907,2011-05-06,Summer,2011,May,0,0,Friday,Clear,0.44,0.4394,44.0,0.1642,13,43,56,Weekday,Terlalu kering,Non-Work Hours
2908,2011-05-06,Summer,2011,May,1,0,Friday,Clear,0.4,0.4091,62.0,0.1642,8,24,32,Weekday,Ideal,Non-Work Hours
2909,2011-05-06,Summer,2011,May,2,0,Friday,Clear,0.38,0.3939,62.0,0.1045,1,15,16,Weekday,Ideal,Non-Work Hours
2910,2011-05-06,Summer,2011,May,3,0,Friday,Clear,0.36,0.3636,71.0,0.1045,3,6,9,Weekday,Terlalu Lembab,Non-Work Hours
2911,2011-05-06,Summer,2011,May,4,0,Friday,Clear,0.36,0.3636,71.0,0.1045,0,1,1,Weekday,Terlalu Lembab,Non-Work Hours
2912,2011-05-06,Summer,2011,May,5,0,Friday,Clear,0.34,0.3485,81.0,0.1045,0,16,16,Weekday,Terlalu Lembab,Non-Work Hours
2913,2011-05-06,Summer,2011,May,6,0,Friday,Clear,0.36,0.3636,81.0,0.0896,8,74,82,Weekday,Terlalu Lembab,Non-Work Hours
2914,2011-05-06,Summer,2011,May,7,0,Friday,Clear,0.4,0.4091,82.0,0.0,20,202,222,Weekday,Terlalu Lembab,Work Hours
2915,2011-05-06,Summer,2011,May,8,0,Friday,Clear,0.42,0.4242,77.0,0.2537,35,415,450,Weekday,Terlalu Lembab,Work Hours
2916,2011-05-06,Summer,2011,May,9,0,Friday,Clear,0.46,0.4545,67.0,0.2836,27,161,188,Weekday,Terlalu Lembab,Work Hours
2917,2011-05-06,Summer,2011,May,10,0,Friday,Misty,0.54,0.5152,49.0,0.3284,30,97,127,Weekday,Ideal,Work Hours
2918,2011-05-06,Summer,2011,May,11,0,Friday,Misty,0.54,0.5152,49.0,0.3284,42,123,165,Weekday,Ideal,Work Hours
2919,2011-05-06,Summer,2011,May,12,0,Friday,Clear,0.56,0.5303,49.0,0.3582,48,198,246,Weekday,Ideal,Work Hours
2920,2011-05-06,Summer,2011,May,13,0,Friday,Clear,0.58,0.5455,40.0,0.3284,71,182,253,Weekday,Terlalu kering,Work Hours
2921,2011-05-06,Summer,2011,May,14,0,Friday,Clear,0.6,0.6212,40.0,0.4478,86,127,213,Weekday,Terlalu kering,Work Hours
2922,2011-05-06,Summer,2011,May,15,0,Friday,Clear,0.6,0.6212,38.0,0.3881,89,171,260,Weekday,Terlalu kering,Work Hours
2923,2011-05-06,Summer,2011,May,16,0,Friday,Clear,0.6,0.6212,40.0,0.2537,82,262,344,Weekday,Terlalu kering,Work Hours
2924,2011-05-06,Summer,2011,May,17,0,Friday,Clear,0.58,0.5455,40.0,0.3582,83,470,553,Weekday,Terlalu kering,Non-Work Hours
2925,2011-05-06,Summer,2011,May,18,0,Friday,Light_rainsnow,0.54,0.5152,52.0,0.3582,85,385,470,Weekday,Ideal,Non-Work Hours
2926,2011-05-06,Summer,2011,May,19,0,Friday,Light_rainsnow,0.54,0.5152,52.0,0.3582,39,253,292,Weekday,Ideal,Non-Work Hours
2927,2011-05-06,Summer,2011,May,20,0,Friday,Clear,0.52,0.5,48.0,0.1045,29,161,190,Weekday,Ideal,Non-Work Hours
2928,2011-05-06,Summer,2011,May,21,0,Friday,Clear,0.48,0.4697,67.0,0.1343,22,130,152,Weekday,Terlalu Lembab,Non-Work Hours
2929,2011-05-06,Summer,2011,May,22,0,Friday,Clear,0.46,0.4545,72.0,0.2239,46,105,151,Weekday,Terlalu Lembab,Non-Work Hours
2930,2011-05-06,Summer,2011,May,23,0,Friday,Clear,0.44,0.4394,82.0,0.1343,27,93,120,Weekday,Terlalu Lembab,Non-Work Hours
2931,2011-05-07,Summer,2011,May,0,0,Saturday,Clear,0.42,0.4242,82.0,0.1343,10,76,86,Weekend,Terlalu Lembab,Non-Work Hours
2932,2011-05-07,Summer,2011,May,1,0,Saturday,Clear,0.42,0.4242,82.0,0.1045,8,50,58,Weekend,Terlalu Lembab,Non-Work Hours
2933,2011-05-07,Summer,2011,May,2,0,Saturday,Clear,0.42,0.4242,82.0,0.0896,5,47,52,Weekend,Terlalu Lembab,Non-Work Hours
2934,2011-05-07,Summer,2011,May,3,0,Saturday,Clear,0.42,0.4242,77.0,0.0896,9,9,18,Weekend,Terlalu Lembab,Non-Work Hours
2935,2011-05-07,Summer,2011,May,4,0,Saturday,Clear,0.4,0.4091,82.0,0.1045,1,4,5,Weekend,Terlalu Lembab,Non-Work Hours
2936,2011-05-07,Summer,2011,May,5,0,Saturday,Clear,0.46,0.4545,59.0,0.1343,4,3,7,Weekend,Ideal,Non-Work Hours
2937,2011-05-07,Summer,2011,May,6,0,Saturday,Clear,0.42,0.4242,77.0,0.0896,1,12,13,Weekend,Terlalu Lembab,Non-Work Hours
2938,2011-05-07,Summer,2011,May,7,0,Saturday,Clear,0.48,0.4697,59.0,0.0,8,32,40,Weekend,Ideal,Work Hours
2939,2011-05-07,Summer,2011,May,8,0,Saturday,Clear,0.52,0.5,52.0,0.194,19,96,115,Weekend,Ideal,Work Hours
2940,2011-05-07,Summer,2011,May,9,0,Saturday,Clear,0.54,0.5152,49.0,0.2836,54,164,218,Weekend,Ideal,Work Hours
2941,2011-05-07,Summer,2011,May,10,0,Saturday,Clear,0.56,0.5303,49.0,0.2985,90,208,298,Weekend,Ideal,Work Hours
2942,2011-05-07,Summer,2011,May,11,0,Saturday,Clear,0.56,0.5303,43.0,0.0,132,215,347,Weekend,Terlalu kering,Work Hours
2943,2011-05-07,Summer,2011,May,12,0,Saturday,Clear,0.6,0.6212,40.0,0.194,129,244,373,Weekend,Terlalu kering,Work Hours
2944,2011-05-07,Summer,2011,May,13,0,Saturday,Clear,0.6,0.6212,35.0,0.2836,196,240,436,Weekend,Terlalu kering,Work Hours
2945,2011-05-07,Summer,2011,May,14,0,Saturday,Light_rainsnow,0.6,0.6212,35.0,0.1642,143,235,378,Weekend,Terlalu kering,Work Hours
2946,2011-05-07,Summer,2011,May,15,0,Saturday,Clear,0.6,0.6212,38.0,0.2537,148,230,378,Weekend,Terlalu kering,Work Hours
2947,2011-05-07,Summer,2011,May,16,0,Saturday,Clear,0.6,0.6212,38.0,0.194,119,223,342,Weekend,Terlalu kering,Work Hours
2948,2011-05-07,Summer,2011,May,17,0,Saturday,Clear,0.58,0.5455,40.0,0.2239,138,216,354,Weekend,Terlalu kering,Non-Work Hours
2949,2011-05-07,Summer,2011,May,18,0,Saturday,Clear,0.58,0.5455,37.0,0.1642,114,175,289,Weekend,Terlalu kering,Non-Work Hours
2950,2011-05-07,Summer,2011,May,19,0,Saturday,Clear,0.56,0.5303,43.0,0.194,88,179,267,Weekend,Terlalu kering,Non-Work Hours
2951,2011-05-07,Summer,2011,May,20,0,Saturday,Clear,0.56,0.5303,43.0,0.1343,82,137,219,Weekend,Terlalu kering,Non-Work Hours
2952,2011-05-07,Summer,2011,May,21,0,Saturday,Clear,0.54,0.5152,49.0,0.2239,58,124,182,Weekend,Ideal,Non-Work Hours
2953,2011-05-07,Summer,2011,May,22,0,Saturday,Clear,0.54,0.5152,49.0,0.194,26,94,120,Weekend,Ideal,Non-Work Hours
2954,2011-05-07,Summer,2011,May,23,0,Saturday,Clear,0.5,0.4848,59.0,0.1045,30,89,119,Weekend,Ideal,Non-Work Hours
2955,2011-05-08,Summer,2011,May,0,0,Sunday,Misty,0.5,0.4848,59.0,0.1045,22,78,100,Weekend,Ideal,Non-Work Hours
2956,2011-05-08,Summer,2011,May,1,0,Sunday,Misty,0.52,0.5,55.00000000000001,0.0,8,56,64,Weekend,Ideal,Non-Work Hours
2957,2011-05-08,Summer,2011,May,2,0,Sunday,Clear,0.48,0.4697,63.0,0.0,17,42,59,Weekend,Ideal,Non-Work Hours
2958,2011-05-08,Summer,2011,May,3,0,Sunday,Clear,0.46,0.4545,72.0,0.0896,10,21,31,Weekend,Terlalu Lembab,Non-Work Hours
2959,2011-05-08,Summer,2011,May,4,0,Sunday,Clear,0.42,0.4242,82.0,0.0,2,8,10,Weekend,Terlalu Lembab,Non-Work Hours
2960,2011-05-08,Summer,2011,May,5,0,Sunday,Misty,0.44,0.4394,77.0,0.0,0,5,5,Weekend,Terlalu Lembab,Non-Work Hours
2961,2011-05-08,Summer,2011,May,6,0,Sunday,Misty,0.44,0.4394,82.0,0.0,2,4,6,Weekend,Terlalu Lembab,Non-Work Hours
2962,2011-05-08,Summer,2011,May,7,0,Sunday,Misty,0.46,0.4545,82.0,0.0,8,15,23,Weekend,Terlalu Lembab,Work Hours
2963,2011-05-08,Summer,2011,May,8,0,Sunday,Clear,0.52,0.5,63.0,0.1343,28,58,86,Weekend,Ideal,Work Hours
2964,2011-05-08,Summer,2011,May,9,0,Sunday,Clear,0.56,0.5303,52.0,0.2239,48,112,160,Weekend,Ideal,Work Hours
2965,2011-05-08,Summer,2011,May,10,0,Sunday,Clear,0.58,0.5455,49.0,0.1343,91,153,244,Weekend,Ideal,Work Hours
2966,2011-05-08,Summer,2011,May,11,0,Sunday,Clear,0.58,0.5455,49.0,0.0896,142,198,340,Weekend,Ideal,Work Hours
2967,2011-05-08,Summer,2011,May,12,0,Sunday,Clear,0.6,0.6212,46.0,0.0896,139,243,382,Weekend,Ideal,Work Hours
2968,2011-05-08,Summer,2011,May,13,0,Sunday,Clear,0.6,0.6212,49.0,0.1343,166,224,390,Weekend,Ideal,Work Hours
2969,2011-05-08,Summer,2011,May,14,0,Sunday,Clear,0.6,0.6212,49.0,0.0,126,240,366,Weekend,Ideal,Work Hours
2970,2011-05-08,Summer,2011,May,15,0,Sunday,Clear,0.6,0.6212,49.0,0.0,128,230,358,Weekend,Ideal,Work Hours
2971,2011-05-08,Summer,2011,May,16,0,Sunday,Clear,0.6,0.6212,46.0,0.1045,122,263,385,Weekend,Ideal,Work Hours
2972,2011-05-08,Summer,2011,May,17,0,Sunday,Light_rainsnow,0.58,0.5455,49.0,0.2836,106,245,351,Weekend,Ideal,Non-Work Hours
2973,2011-05-08,Summer,2011,May,18,0,Sunday,Clear,0.58,0.5455,49.0,0.0,63,205,268,Weekend,Ideal,Non-Work Hours
2974,2011-05-08,Summer,2011,May,19,0,Sunday,Clear,0.56,0.5303,64.0,0.0,61,178,239,Weekend,Ideal,Non-Work Hours
2975,2011-05-08,Summer,2011,May,20,0,Sunday,Clear,0.52,0.5,77.0,0.1343,42,132,174,Weekend,Terlalu Lembab,Non-Work Hours
2976,2011-05-08,Summer,2011,May,21,0,Sunday,Clear,0.52,0.5,77.0,0.0896,32,95,127,Weekend,Terlalu Lembab,Non-Work Hours
2977,2011-05-08,Summer,2011,May,22,0,Sunday,Clear,0.5,0.4848,88.0,0.0896,29,86,115,Weekend,Terlalu Lembab,Non-Work Hours
2978,2011-05-08,Summer,2011,May,23,0,Sunday,Clear,0.46,0.4545,88.0,0.0896,9,41,50,Weekend,Terlalu Lembab,Non-Work Hours
2979,2011-05-09,Summer,2011,May,0,0,Monday,Clear,0.46,0.4545,82.0,0.0896,31,22,53,Weekday,Terlalu Lembab,Non-Work Hours
2980,2011-05-09,Summer,2011,May,1,0,Monday,Clear,0.44,0.4394,88.0,0.0,25,8,33,Weekday,Terlalu Lembab,Non-Work Hours
2981,2011-05-09,Summer,2011,May,2,0,Monday,Clear,0.44,0.4394,94.0,0.0,6,2,8,Weekday,Terlalu Lembab,Non-Work Hours
2982,2011-05-09,Summer,2011,May,3,0,Monday,Clear,0.46,0.4545,82.0,0.0896,0,7,7,Weekday,Terlalu Lembab,Non-Work Hours
